sample_type,N_rate,P_rate,K_rate,Zn_rate,global_warming,freshwater_eutrophication,terrestrial_acidification,terrestrial_ecotoxicity
OAT_P,135,55.6598,35,20,5140.924703,0.399931622,23.30309357,13602.18876
OAT_P,135,46.6675,35,20,5114.787729,0.390939803,23.17397496,13564.70618
OAT_P,135,46.2989,35,20,5113.716358,0.390571222,23.1686823,13563.16975
OAT_P,135,48.4362,35,20,5119.928624,0.392708408,23.19937136,13572.07865
OAT_P,135,46.91,35,20,5115.492578,0.39118229,23.17745696,13565.71699
OAT_P,135,49.0942,35,20,5121.841163,0.393366373,23.20881945,13574.82139
OAT_P,135,56.9655,35,20,5144.719845,0.401237253,23.32184185,13607.6313
OAT_P,135,55.7697,35,20,5141.244138,0.400041516,23.3046716,13602.64685
OAT_P,135,55.0028,35,20,5139.015071,0.399274657,23.29365984,13599.45018
OAT_P,135,54.893,35,20,5138.695926,0.399164863,23.29208324,13598.99251
OAT_P,135,52.2793,35,20,5131.098959,0.396551303,23.25455365,13588.09783
OAT_P,135,51.5983,35,20,5129.119568,0.395870339,23.24477531,13585.25922
OAT_P,135,58.5652,35,20,5149.369525,0.402836867,23.34481161,13614.29933
OAT_P,135,55.043,35,20,5139.131916,0.399314855,23.29423706,13599.61775
OAT_P,135,47.3189,35,20,5116.681085,0.391591168,23.18332828,13567.42141
OAT_P,135,42.9356,35,20,5103.940607,0.387208102,23.12038936,13549.15051
OAT_P,135,45.6048,35,20,5111.698891,0.38987716,23.15871586,13560.27653
OAT_P,135,41.2163,35,20,5098.943298,0.385488894,23.09570228,13541.98396
OAT_P,135,46.4044,35,20,5114.023004,0.390676717,23.17019716,13563.6095
OAT_P,135,41.3001,35,20,5099.186871,0.385572689,23.09690555,13542.33326
OAT_P,135,43.1744,35,20,5104.634702,0.387446889,23.12381824,13550.1459
OAT_P,135,54.6799,35,20,5138.076531,0.398951775,23.28902338,13598.10424
